secuencia;nodo_id;alternativa_id;IIC;IIA;MI;EI;CI;RC;DPE-A;DPE-P;LF
1;1;A;4;3,5;3,5;2;2;1;3;1;1
1;1;B;2;1,5;1;2;3;2;1;3;3
1;1;C;2;2;2;2;1,5;2,5;1,5;2;2
1;2;A;4;4;2,5;3;3,5;2;4;1;1
1;2;B;1;1;1;1;2;2;1;3;2,5
1;2;C;2,5;2;2;2;2;2;4;1;1
1;3;A;3,5;3;3;3,5;4;3;3,5;2;2,5
1;3;B;2;2;2;1;2;1,5;1;3;3,5
1;3;C;3;3;3;3;3;2;3;3;2
1;4;A;3;4;3;2;2;3;3;1,5;1
1;4;B;2;2;2;2,5;3;2,5;2;3;3
1;4;C;2;2;2,5;2;2,5;3;2,5;3;2,5
1;5;A;2;2;2;2;2;2;2;2;2
1;5;B;3;3;2;2;2;1;3,5;3;1
1;5;C;4;4;3;3;2;2;2;2;2
3;6;A;3;3;3,5;2;3;2;3;2;2
3;6;B;3;2;1,5;2;1,5;1,5;2;1,5;2,5
3;6;C;3;3;3;2;2;2;2;1;1
4;7;A;3,5;3;3,5;4;3,5;2;4;2;1,5
4;7;B;2;2;1,5;2;2;2;1;2;2
4;7;C;2,5;2,5;3;1;2;2;4;3;2,5
4;8;A;2,5;2;2;2;2;2;2;2;1
4;8;B;2,5;3;3;2;2,5;3;3;2,5;1,5
4;8;C;2;3;2;2,5;3;4;4;2,5;1
4;9;A;3,5;3,5;3;3;3;3,5;3;3;3,5
4;9;B;2;1,5;2;1;2;1;1,5;3;2
4;9;C;2;3;3;3;2,5;3;4;2;2
5;10;A;2;2;2;3;2;3;2;3;2
5;10;B;3;3;3;2,5;2,5;2;4;2;2
5;10;C;3;3;3;2,5;2,5;3;2;2;2
8;11;A;4;3;3;2;2;3;4;3;3
8;11;B;1;2;3;2;2;2;2,5;3;2
8;11;C;2;2,5;2,5;1,5;2,5;2;2;3;3,5
9;12;A;4;4;4;3;3;4;4;3;1
9;12;B;3;3;3;3,5;3;2,5;3;2;2
9;12;C;2,5;2;2;3,5;3;3;2;2;2
10;13;A;4;3;4;3;4;2,5;2,5;2;2,5
10;13;B;4;4;4;4;3;3;4;1,5;2
10;13;C;1;2;1,5;1,5;2;2;2,5;1;1
10;14;A;3,5;3;3;3;2,5;3;3;2,5;2
10;14;B;2;2;2;3;2;3;2;3;2
10;14;C;1,5;2;2;2;2;2;2;3;2,5
10;15;A;3;2;2;3;3;2;3;2;2
10;15;B;2,5;2;3;3;3;3;3;3;4
10;15;C;2;1,5;2;2;2;1;1;3;4
11;16;A;3,5;3;3;3;3;2,5;4;1;2,5
11;16;B;2;2;3;3;2;2,5;3;2;3
11;16;C;2;2;2;2;2,5;2;3;2;2
11;17;A;3;3;3,5;2;3;2,5;3;1,5;2
11;17;B;2,5;3;3;3;2;2;3;2;1,5
11;17;C;2;2;2;2;2,5;2;2;3;2,5
14;18;A;3;3;2;3;2,5;3;2;1,5;2,5
14;18;B;2;2,5;2,5;2;2;2,5;3;3;2
14;18;C;2;2;2;2;2;2;2;2;2
14;19;A;4;3;2,5;3;3;3;3;1;2,5
14;19;B;1,5;1;2;2;1,5;1;2,5;4;3
14;19;C;1;1;1;1;1;1;1;2,5;4
15;20;A;3;3;2,5;3;2;1,5;1,5;2;2,5
15;20;B;2;2;2,5;2;2,5;2;3;3;3
15;20;C;3;2;3;3;2;2;1;1;1,5
16;21;A;4;3;3;2,5;3;2;4;1;2,5
16;21;B;1,5;1;2;2;2;2;2;4;3
16;21;C;2;2,5;2;1,5;2;2;3,5;1;1
16;22;A;3;3;3;3;4;3;4;1;1
16;22;B;3;2;2;2;2;2;2,5;2;1
16;22;C;3;1,5;2;2;1,5;1,5;1;3;4
18;23;A;4;3,5;2,5;4;4;2;3;1;1
18;23;B;3;3;3;3;3;3;4;2;1
18;23;C;1;1;1;1,5;1;1;2;2;3
19;24;A;3,5;3;3;2,5;3;2,5;3;2,5;4
19;24;B;2;2;2;2;2;2;2,5;3,5;3
19;24;C;3;3;2;2,5;2;3;3;1,5;2
20;25;A;3;3;3;3;3;3;3;2;2
20;25;B;3;3;3;3;2;2;3;1,5;1
20;25;C;3;3;3;3;3;2,5;3;2;3
21;26;A;3,5;3;3;3;2;3;3,5;1;2,5
21;26;B;3;3;4;3;3;2;2;2,5;2
21;26;C;3;3;3;2;2;3;1;2,5;3
22;27;A;1,5;1;2;2;2;1,5;2;3;3
22;27;B;2;2;3;2;2;2;2;3;2,5
22;27;C;1,5;1,5;2;2;2;1;2;3;4
23;28;A;4;3;3;3;2;3,5;3;2;2
23;28;B;2;2,5;4;2,5;4;2,5;3;2;2
23;28;C;3;3;3;3;3;3;3;3;3
