secuencia,nodo_id,alternativa_id,IIA,IIC,MI,EI,CI,RC,DPE-A,DPE-P,LF
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N1_RIOS_CHOICE,A,4,4,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N1_RIOS_CHOICE,B,0,0,2,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N1_RIOS_CHOICE,C,0,0,0,0,0,2,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N2_GUZMAN_DOCENCIA,A,0,4,2,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N2_GUZMAN_DOCENCIA,B,0,0,0,0,0,0,0,0,2
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N2_GUZMAN_DOCENCIA,C,0,0,0,0,0,2,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N3_RIOS_PROTOCOLS,A,0,2,0,2,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N3_RIOS_PROTOCOLS,B,0,0,0,0,0,0,0,0,4
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N3_RIOS_PROTOCOLS,C,0,0,0,0,0,0,2,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N4_SOTO_INDICATORS,A,0,0,0,2,2,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N4_SOTO_INDICATORS,B,0,0,0,0,0,2,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N4_SOTO_INDICATORS,C,0,0,0,0,0,2,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N5_SOFIA_PRIORITY,A,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N5_SOFIA_PRIORITY,B,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N5_SOFIA_PRIORITY,C,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,A,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,B,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,C,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,A,0,4,0,0,2,0,0,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,B,0,0,0,0,0,0,0,0,2
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,C,0,0,0,0,0,0,2,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,A,0,2,0,0,4,0,0,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,B,0,0,0,0,0,0,2,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,C,0,0,0,0,0,0,2,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,A,0,2,0,0,0,0,2,0,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,B,0,0,0,0,0,0,0,2,0
MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,C,2,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,A,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,B,0,0,0,0,0,0,0,0,0
MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,C,0,0,0,0,0,0,0,0,0
MLQ5X_D2_SEQUENCE_8,MLQ5X_D2S8_N11_SOTO_DECISION,A,2,0,4,0,0,0,0,0,0
MLQ5X_D2_SEQUENCE_8,MLQ5X_D2S8_N11_SOTO_DECISION,B,0,0,0,0,0,0,0,2,0
MLQ5X_D2_SEQUENCE_8,MLQ5X_D2S8_N11_SOTO_DECISION,C,0,0,0,0,0,0,0,0,2
MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,A,2,0,4,0,0,0,0,0,0
MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,B,0,0,0,0,0,2,0,0,0
MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,C,0,0,0,0,0,0,0,0,0
